id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_resto,satuan,tahun
88,32,JAWA BARAT,3209,KABUPATEN CIREBON,25,UNIT,2017
89,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,67,UNIT,2017
90,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,119,UNIT,2017
91,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,36,UNIT,2017
92,32,JAWA BARAT,3213,KABUPATEN SUBANG,159,UNIT,2017
93,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,117,UNIT,2017
94,32,JAWA BARAT,3215,KABUPATEN KARAWANG,570,UNIT,2017
95,32,JAWA BARAT,3216,KABUPATEN BEKASI,93,UNIT,2017
96,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,152,UNIT,2017
97,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,156,UNIT,2017
98,32,JAWA BARAT,3271,KOTA BOGOR,195,UNIT,2017
99,32,JAWA BARAT,3272,KOTA SUKABUMI,87,UNIT,2017
100,32,JAWA BARAT,3273,KOTA BANDUNG,756,UNIT,2017
101,32,JAWA BARAT,3274,KOTA CIREBON,147,UNIT,2017
102,32,JAWA BARAT,3275,KOTA BEKASI,235,UNIT,2017
103,32,JAWA BARAT,3276,KOTA DEPOK,381,UNIT,2017
104,32,JAWA BARAT,3277,KOTA CIMAHI,114,UNIT,2017
105,32,JAWA BARAT,3278,KOTA TASIKMALAYA,132,UNIT,2017
106,32,JAWA BARAT,3279,KOTA BANJAR,47,UNIT,2017
107,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,UNIT,2018
108,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,UNIT,2018
109,32,JAWA BARAT,3203,KABUPATEN CIANJUR,500,UNIT,2018
110,32,JAWA BARAT,3204,KABUPATEN BANDUNG,93,UNIT,2018
111,32,JAWA BARAT,3205,KABUPATEN GARUT,298,UNIT,2018
112,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,31,UNIT,2018
113,32,JAWA BARAT,3207,KABUPATEN CIAMIS,52,UNIT,2018
114,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,133,UNIT,2018
115,32,JAWA BARAT,3209,KABUPATEN CIREBON,255,UNIT,2018
116,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,103,UNIT,2018
117,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,UNIT,2018
118,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,408,UNIT,2018
119,32,JAWA BARAT,3213,KABUPATEN SUBANG,177,UNIT,2018
120,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,371,UNIT,2018
121,32,JAWA BARAT,3215,KABUPATEN KARAWANG,275,UNIT,2018
122,32,JAWA BARAT,3216,KABUPATEN BEKASI,200,UNIT,2018
123,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,71,UNIT,2018
124,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,156,UNIT,2018
125,32,JAWA BARAT,3271,KOTA BOGOR,198,UNIT,2018
126,32,JAWA BARAT,3272,KOTA SUKABUMI,0,UNIT,2018
127,32,JAWA BARAT,3273,KOTA BANDUNG,1052,UNIT,2018
128,32,JAWA BARAT,3274,KOTA CIREBON,143,UNIT,2018
129,32,JAWA BARAT,3275,KOTA BEKASI,252,UNIT,2018
130,32,JAWA BARAT,3276,KOTA DEPOK,0,UNIT,2018
131,32,JAWA BARAT,3277,KOTA CIMAHI,114,UNIT,2018
132,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,UNIT,2018
133,32,JAWA BARAT,3279,KOTA BANJAR,0,UNIT,2018
134,32,JAWA BARAT,3201,KABUPATEN BOGOR,453,UNIT,2019
135,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,72,UNIT,2019
136,32,JAWA BARAT,3203,KABUPATEN CIANJUR,500,UNIT,2019
137,32,JAWA BARAT,3204,KABUPATEN BANDUNG,258,UNIT,2019
138,32,JAWA BARAT,3205,KABUPATEN GARUT,173,UNIT,2019
139,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,33,UNIT,2019
140,32,JAWA BARAT,3207,KABUPATEN CIAMIS,52,UNIT,2019
141,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,UNIT,2019
142,32,JAWA BARAT,3209,KABUPATEN CIREBON,244,UNIT,2019
143,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,90,UNIT,2019
144,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,190,UNIT,2019
145,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,54,UNIT,2019
146,32,JAWA BARAT,3213,KABUPATEN SUBANG,189,UNIT,2019
147,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,138,UNIT,2019
148,32,JAWA BARAT,3215,KABUPATEN KARAWANG,442,UNIT,2019
149,32,JAWA BARAT,3216,KABUPATEN BEKASI,200,UNIT,2019
150,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,134,UNIT,2019
151,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,239,UNIT,2019
152,32,JAWA BARAT,3271,KOTA BOGOR,198,UNIT,2019
153,32,JAWA BARAT,3272,KOTA SUKABUMI,0,UNIT,2019
154,32,JAWA BARAT,3273,KOTA BANDUNG,952,UNIT,2019
155,32,JAWA BARAT,3274,KOTA CIREBON,147,UNIT,2019
156,32,JAWA BARAT,3275,KOTA BEKASI,2208,UNIT,2019
157,32,JAWA BARAT,3276,KOTA DEPOK,0,UNIT,2019
158,32,JAWA BARAT,3277,KOTA CIMAHI,116,UNIT,2019
159,32,JAWA BARAT,3278,KOTA TASIKMALAYA,216,UNIT,2019
160,32,JAWA BARAT,3279,KOTA BANJAR,0,UNIT,2019
